Year,Month,Year.month,Anomaly_average
1895,3,1895.3,-0.2231935484
1895,4,1895.4,0.4520333333
1895,5,1895.5,-0.1926774194
1895,6,1895.6,0.05156666667
1895,7,1895.7,-0.223483871
1895,8,1895.8,-0.1931935484
1895,9,1895.9,0.03666666667
1895,10,1895.10,-0.6257741935
1895,11,1895.11,-0.3004666667
1895,12,1895.12,-0.3529677419
1896,1,1896.1,-0.389483871
1896,2,1896.2,-0.2264482759
1896,3,1896.3,-1.303064516
1896,4,1896.4,-0.3773
1896,5,1896.5,-0.08512903226
1896,6,1896.6,0.0212
1896,7,1896.7,0.1110645161
1896,8,1896.8,0.02838709677
1896,9,1896.9,-0.2608666667
1896,10,1896.10,-0.05119354839
1896,11,1896.11,-0.9442
1896,12,1896.12,-0.2863548387
1897,1,1897.1,-0.9642580645
1897,2,1897.2,-0.4731785714
1897,3,1897.3,-0.7456451613
1897,4,1897.4,0.4755
1897,5,1897.5,0.3223870968
1897,6,1897.6,0.09773333333
1897,7,1897.7,0.321
1897,8,1897.8,-0.2670322581
1897,9,1897.9,0.0251
1897,10,1897.10,-0.03287096774
1897,11,1897.11,-0.7282333333
1897,12,1897.12,-0.7786774194
1898,1,1898.1,0.06251612903
1898,2,1898.2,-0.8285
1898,3,1898.3,-0.8711290323
1898,4,1898.4,-0.4541333333
1898,5,1898.5,-0.1135806452
1898,6,1898.6,0.2481666667
1898,7,1898.7,-0.1102258065
1898,8,1898.8,-0.1920322581
1898,9,1898.9,-0.3135333333
1898,10,1898.10,-0.7178387097
1898,11,1898.11,-0.7734666667
1898,12,1898.12,-0.6142580645
1899,1,1899.1,0.2199032258
1899,2,1899.2,-1.189964286
1899,3,1899.3,-0.3802903226
1899,4,1899.4,0.6221333333
1899,5,1899.5,-0.01251612903
1899,6,1899.6,-0.1371
1899,7,1899.7,-0.1119677419
1899,8,1899.8,-0.03029032258
1899,9,1899.9,-0.09413333333
1899,10,1899.10,-0.006387096774
1899,11,1899.11,0.4482
1899,12,1899.12,-1.21916129
1900,1,1900.1,-0.4388709677
1900,2,1900.2,-0.5801785714
1900,3,1900.3,0.3498709677
1900,4,1900.4,0.6191666667
1900,5,1900.5,0.4180645161
1900,6,1900.6,0.3369333333
1900,7,1900.7,-0.09241935484
1900,8,1900.8,0.05219354839
1900,9,1900.9,-0.3316
1900,10,1900.10,0.404
1900,11,1900.11,-0.7906333333
1900,12,1900.12,-0.2427419355
1901,1,1901.1,-0.2758387097
1901,2,1901.2,-0.6078571429
1901,3,1901.3,0.7008709677
1901,4,1901.4,0.4995666667
1901,5,1901.5,0.3299032258
1901,6,1901.6,0.02266666667
1901,7,1901.7,0.3737419355
1901,8,1901.8,-0.08080645161
1901,9,1901.9,-0.4254666667
1901,10,1901.10,-0.06812903226
1901,11,1901.11,-0.4517
1901,12,1901.12,-0.5077419355
1902,1,1902.1,0.151483871
1902,2,1902.2,-0.06428571429
1902,3,1902.3,0.3588709677
1902,4,1902.4,-0.227
1902,5,1902.5,0.09264516129
1902,6,1902.6,-0.07736666667
1902,7,1902.7,0.07522580645
1902,8,1902.8,-0.2028387097
1902,9,1902.9,-0.5905666667
1902,10,1902.10,-0.5727096774
1902,11,1902.11,-0.6045333333
1902,12,1902.12,-1.556612903
1903,1,1903.1,-0.004451612903
1903,2,1903.2,-0.234
1903,3,1903.3,0.4177741935
1903,4,1903.4,-0.3357666667
1903,5,1903.5,-0.04187096774
1903,6,1903.6,-0.4630666667
1903,7,1903.7,-0.02825806452
1903,8,1903.8,-0.4719354839
1903,9,1903.9,-0.7325333333
1903,10,1903.10,-0.3756451613
1903,11,1903.11,-0.8053333333
1903,12,1903.12,-0.903
1904,1,1904.1,-0.9562258065
1904,2,1904.2,-0.9870689655
1904,3,1904.3,-0.3452903226
1904,4,1904.4,-0.5449
1904,5,1904.5,-0.08122580645
1904,6,1904.6,-0.3753666667
1904,7,1904.7,-0.4772258065
1904,8,1904.8,-0.5243225806
1904,9,1904.9,-0.6178
1904,10,1904.10,-0.5562580645
1904,11,1904.11,0.0284
1904,12,1904.12,-0.4446129032
1905,1,1905.1,-0.5188387097
1905,2,1905.2,-1.597571429
1905,3,1905.3,0.3210967742
1905,4,1905.4,-0.4117666667
1905,5,1905.5,-0.07141935484
1905,6,1905.6,-0.001366666667
1905,7,1905.7,-0.1861612903
1905,8,1905.8,-0.195516129
1905,9,1905.9,-0.2448333333
1905,10,1905.10,-0.6462903226
1905,11,1905.11,0.03666666667
1905,12,1905.12,-0.6465483871
1906,1,1906.1,-0.2163548387
1906,2,1906.2,-0.7494642857
1906,3,1906.3,-0.8114516129
1906,4,1906.4,1.111033333
1906,5,1906.5,0.177483871
1906,6,1906.6,0.1169333333
1906,7,1906.7,0.04651612903
1906,8,1906.8,-0.03741935484
1906,9,1906.9,-0.1701
1906,10,1906.10,-0.3674516129
1906,11,1906.11,-0.6610666667
1906,12,1906.12,-0.2451290323
1907,1,1907.1,-0.8664193548
1907,2,1907.2,-1.094785714
1907,3,1907.3,0.09648387097
1907,4,1907.4,-0.8387333333
1907,5,1907.5,-0.6442258065
1907,6,1907.6,-0.4909666667
1907,7,1907.7,-0.2568709677
1907,8,1907.8,-0.5132580645
1907,9,1907.9,-0.3953
1907,10,1907.10,-0.2533225806
1907,11,1907.11,-1.0734
1907,12,1907.12,-0.7108709677
1908,1,1908.1,-0.3514193548
1908,2,1908.2,-0.746137931
1908,3,1908.3,-0.5612258065
1908,4,1908.4,-0.2079
1908,5,1908.5,0.01206451613
1908,6,1908.6,0.01373333333
1908,7,1908.7,0.124516129
1908,8,1908.8,-0.5005483871
1908,9,1908.9,-0.008033333333
1908,10,1908.10,-0.7160322581
1908,11,1908.11,-0.8709
1908,12,1908.12,-1.016
1909,1,1909.1,-1.246483871
1909,2,1909.2,-0.491
1909,3,1909.3,-0.4949032258
1909,4,1909.4,-0.3941666667
1909,5,1909.5,-0.4413225806
1909,6,1909.6,-0.0406
1909,7,1909.7,-0.2972258065
1909,8,1909.8,0.09841935484
1909,9,1909.9,-0.2357333333
1909,10,1909.10,-0.3821612903
1909,11,1909.11,0.3739333333
1909,12,1909.12,-1.326806452
1910,1,1910.1,0.01658064516
1910,2,1910.2,-1.075464286
1910,3,1910.3,0.6269677419
1910,4,1910.4,-0.1115666667
1910,5,1910.5,-0.2240322581
1910,6,1910.6,-0.0145
1910,7,1910.7,0.2070322581
1910,8,1910.8,-0.2172580645
1910,9,1910.9,-0.3307
1910,10,1910.10,-0.2083225806
1910,11,1910.11,-1.161366667
1910,12,1910.12,-1.282096774
1911,1,1911.1,-0.9451935484
1911,2,1911.2,-0.9390357143
1911,3,1911.3,-0.4038709677
1911,4,1911.4,-0.3825666667
1911,5,1911.5,0.03770967742
1911,6,1911.6,-0.07606666667
1911,7,1911.7,-0.1437741935
1911,8,1911.8,-0.4042580645
1911,9,1911.9,-0.3192
1911,10,1911.10,-0.1941290323
1911,11,1911.11,-0.7636333333
1911,12,1911.12,0.1482903226
1912,1,1912.1,-0.8938064516
1912,2,1912.2,0.2104482759
1912,3,1912.3,-0.9321935484
1912,4,1912.4,0.3090666667
1912,5,1912.5,0.2853548387
1912,6,1912.6,0.0709
1912,7,1912.7,-0.2776129032
1912,8,1912.8,-0.6999354839
1912,9,1912.9,-0.8981333333
1912,10,1912.10,-0.8973870968
1912,11,1912.11,-0.8091666667
1912,12,1912.12,-0.7651612903
1913,1,1913.1,-0.6319032258
1913,2,1913.2,-1.122392857
1913,3,1913.3,-0.3886451613
1913,4,1913.4,0.1874666667
1913,5,1913.5,-0.3052258065
1913,6,1913.6,-0.1165
1913,7,1913.7,-0.05858064516
1913,8,1913.8,0.07977419355
1913,9,1913.9,-0.3971
1913,10,1913.10,-0.5101935484
1913,11,1913.11,0.1715666667
1913,12,1913.12,0.08119354839
1914,1,1914.1,0.9330322581
1914,2,1914.2,-0.4055
1914,3,1914.3,0.2026451613
1914,4,1914.4,0.1324666667
1914,5,1914.5,0.3827419355
1914,6,1914.6,0.2864
1914,7,1914.7,0.2386129032
1914,8,1914.8,-0.06516129032
1914,9,1914.9,-0.3544333333
1914,10,1914.10,0.08522580645
1914,11,1914.11,-0.1854
1914,12,1914.12,-0.7886774194
1915,1,1915.1,-0.2976774194
1915,2,1915.2,0.4246785714
1915,3,1915.3,-0.4908387097
1915,4,1915.4,1.277566667
1915,5,1915.5,0.1364193548
1915,6,1915.6,0.1939
1915,7,1915.7,0.2417096774
1915,8,1915.8,-0.02206451613
1915,9,1915.9,-0.2658333333
1915,10,1915.10,-0.2913225806
1915,11,1915.11,-0.1585
1915,12,1915.12,-0.1784516129
1916,1,1916.1,-0.3069032258
1916,2,1916.2,-0.1969310345
1916,3,1916.3,-0.2592258065
1916,4,1916.4,0.0289
1916,5,1916.5,-0.09209677419
1916,6,1916.6,-0.5661
1916,7,1916.7,0.109516129
1916,8,1916.8,-0.1500322581
1916,9,1916.9,-0.4374
1916,10,1916.10,-0.3175483871
1916,11,1916.11,-0.6039333333
1916,12,1916.12,-1.540354839
1917,1,1917.1,-0.5119032258
1917,2,1917.2,-1.063642857
1917,3,1917.3,-0.4604516129
1917,4,1917.4,-0.1267666667
1917,5,1917.5,-0.7821612903
1917,6,1917.6,-0.2557
1917,7,1917.7,0.1793548387
1917,8,1917.8,-0.407
1917,9,1917.9,-0.3509333333
1917,10,1917.10,-1.164322581
1917,11,1917.11,-0.1002666667
1917,12,1917.12,-1.919516129
1918,1,1918.1,-1.246516129
1918,2,1918.2,-0.6152142857
1918,3,1918.3,0.03432258065
1918,4,1918.4,-0.6391333333
1918,5,1918.5,-0.3372580645
1918,6,1918.6,-0.1478666667
1918,7,1918.7,-0.3402258065
1918,8,1918.8,-0.0915483871
1918,9,1918.9,-0.6146333333
1918,10,1918.10,0.2670322581
1918,11,1918.11,-0.8696
1918,12,1918.12,-0.9290322581
1919,1,1919.1,-0.3926451613
1919,2,1919.2,-0.712
1919,3,1919.3,-0.3246129032
1919,4,1919.4,0.4420333333
1919,5,1919.5,-0.1454193548
1919,6,1919.6,0.1784333333
1919,7,1919.7,0.1365483871
1919,8,1919.8,-0.07012903226
1919,9,1919.9,0.0461
1919,10,1919.10,-0.2752903226
1919,11,1919.11,-0.8250666667
1919,12,1919.12,-0.8614516129
1920,1,1920.1,-0.2199677419
1920,2,1920.2,-0.3149310345
1920,3,1920.3,0.05116129032
1920,4,1920.4,-0.1370666667
1920,5,1920.5,0.1684516129
1920,6,1920.6,-0.0576
1920,7,1920.7,0.1307419355
1920,8,1920.8,-0.1570967742
1920,9,1920.9,-0.2850666667
1920,10,1920.10,-0.292516129
1920,11,1920.11,-1.103466667
1920,12,1920.12,-1.237129032
1921,1,1921.1,0.1517419355
1921,2,1921.2,-0.2757857143
1921,3,1921.3,0.3134516129
1921,4,1921.4,0.0566
1921,5,1921.5,0.1222580645
1921,6,1921.6,0.4012666667
1921,7,1921.7,0.3973870968
1921,8,1921.8,-0.354516129
1921,9,1921.9,-0.1283333333
1921,10,1921.10,-0.1310967742
